id,date,mood_avg,screen_avg,circumplex.valence_avg,circumplex.arousal_avg,activity_avg,appCat.social_avg,appCat.game_avg,appCat.entertainment_avg,target
AS14.28,2014-04-11,7.4,53.73509693200765,0.8800000000000001,-0.52,0.1380931467045432,52.27000596327421,33.32048999999999,84.862575,7.4
AS14.28,2014-04-12,7.44,46.885965645258324,0.78,-0.52,0.20228865563152848,47.45166024898849,32.129105833333334,81.818775,7.8
AS14.28,2014-04-13,7.4,47.13818965971596,0.76,-0.7200000000000001,0.18739377102878194,40.31166897764123,40.6647975,74.25308055555556,7.2
AS14.28,2014-04-14,7.279999999999999,54.919020465839786,0.72,-0.8,0.17610868255791884,42.52235314153935,63.6339975,70.45880555555554,6.8
AS14.28,2014-04-15,7.239999999999999,57.937159211397024,0.5999999999999999,-0.78,0.14856322842722955,47.972468629754836,72.2407975,62.71500555555556,6.8
AS14.28,2014-04-16,7.2,59.6265963905851,0.58,-0.62,0.12724525792613234,50.21680354500908,81.39467178571428,77.61140555555555,6.2
AS14.28,2014-04-17,6.960000000000001,63.903322743072785,0.48,-0.38,0.06777760695197962,54.085049259294784,73.88033928571429,122.16460555555554,7.8
AS14.28,2014-04-18,6.959999999999999,64.01303131200908,0.38,-0.28,0.08192657880630194,56.81968267287207,93.31971428571428,128.94185000000002,5.8
AS14.28,2014-04-19,6.68,59.87986417155622,0.22000000000000003,-0.2,0.08039179927741316,51.97766862042279,79.83248928571429,123.8218666666667,6.75
AS14.28,2014-04-20,6.67,60.65387155220193,0.13999999999999999,-0.12000000000000002,0.06327690217240776,54.77900736501154,103.74537678571429,130.38466666666667,7.8
AS14.28,2014-04-21,6.87,56.74239250896217,0.25999999999999995,-0.16,0.046081948658603086,55.42422673547158,132.5484625,116.05423333333333,8.0
AS14.28,2014-04-22,7.230000000000001,55.13321865875061,0.54,-0.31999999999999995,0.054034817328844964,54.24596238764549,134.43542250000002,69.31563333333334,7.25
AS14.28,2014-04-23,7.12,54.36380347087189,0.6,-0.41,0.06389791510100354,53.846775882670364,112.1306225,157.45783333333333,7.0
AS14.28,2014-04-24,7.359999999999999,52.901190035958166,0.8,-0.33,0.07597066982697083,61.09557776001706,97.11634749999999,159.14006666666666,8.0
AS14.28,2014-04-25,7.609999999999999,51.58736924481873,1.04,-0.27,0.0956880031699767,56.67068687331755,72.05886,172.7762666666667,7.0
AS14.28,2014-04-26,7.45,52.22783116876415,1.04,-0.22999999999999998,0.11550823319781763,54.848012587603264,33.503159999999994,161.0278,8.0
AS14.28,2014-04-27,7.45,55.58594188111196,1.04,-0.19,0.106978973250342,53.18602249098491,36.7489,153.44495,7.25
AS14.30,2014-04-10,7.830000000000001,89.07687536667711,1.0,-0.62,0.12009957330875236,97.90682297619048,383.8168933333333,263.2408069068612,8.2
AS14.30,2014-04-11,7.869999999999999,90.3363336123318,1.0,-0.6599999999999999,0.13330035441433222,95.89520630952381,340.69844333333333,277.3071085372961,7.666666666666667
AS14.30,2014-04-12,7.803333333333333,88.86664498960194,0.9333333333333333,-0.5533333333333333,0.14444468365712745,86.45891964285714,314.72586333333334,246.28996472458698,7.8
AS14.30,2014-04-13,7.843333333333334,81.31928287135294,0.9733333333333333,-0.7533333333333333,0.1323210816938371,97.60620682234432,399.10258000000005,256.34185703227934,7.2
AS14.30,2014-04-14,7.723333333333334,85.58268216357547,0.9733333333333333,-0.9533333333333334,0.11629314121470835,106.319760989011,389.9467133333333,233.04898836561262,7.75
AS14.30,2014-04-15,7.723333333333334,84.72445629339002,0.9733333333333333,-0.9033333333333333,0.11827007753827298,101.36212489878542,338.9134633333333,184.3917711407323,7.6
AS14.30,2014-04-16,7.6033333333333335,89.41141145894007,0.9733333333333334,-0.9833333333333332,0.11602489245693351,99.27413489878543,307.5648133333333,161.0949169740656,8.4
AS14.30,2014-04-17,7.75,88.04143469159229,1.1199999999999999,-0.93,0.12504367795711074,100.9922515654521,284.1754777777778,186.94512232523616,7.6
AS14.30,2014-04-18,7.709999999999999,88.50420506789058,1.08,-0.89,0.1450274836216435,90.61614533834586,228.97227777777775,198.28591432523618,7.4
AS14.30,2014-04-19,7.75,88.86362976615057,1.08,-0.8099999999999999,0.13749500870277445,84.2647849216792,272.6430444444444,266.20943555600536,7.8
AS14.30,2014-04-20,7.76,90.91056524750337,1.08,-1.0,0.12330163185899765,79.62880886904762,324.8133277777778,291.06436187179486,7.75
AS14.30,2014-04-21,7.790000000000001,96.76175215955085,1.08,-0.9700000000000001,0.12066395403188253,77.2541877579365,364.1219611111111,304.2983947149321,7.8
AS14.30,2014-04-22,7.67,100.50916471840024,1.0,-1.2100000000000002,0.10452001316764789,78.04650872567844,336.9289166666667,286.15778476018096,8.0
AS14.30,2014-04-23,7.75,109.34384778168337,1.04,-1.21,0.10199622503235925,85.42840656117627,265.3736666666667,257.388712760181,7.6
AS14.30,2014-04-24,7.790000000000001,96.03840491106415,1.04,-1.25,0.11247723515425241,89.54326207588217,176.1702666666667,227.19949352941177,8.2
AS14.30,2014-04-25,7.869999999999999,88.44205629549289,1.08,-1.2500000000000002,0.11934606939222359,99.61282421873929,92.01753333333333,209.5185379738562,7.5
AS14.30,2014-04-26,7.8199999999999985,79.48759754407506,1.08,-1.2,0.1257460578762136,97.04556260257769,76.6346,236.22377457516342,7.8
AS14.30,2014-04-27,7.8199999999999985,83.1521320410362,1.08,-1.12,0.17254000744124448,99.09155830150242,129.7394,270.73262555555556,7.8
AS14.30,2014-04-28,7.779999999999999,77.500698792716,1.04,-1.16,0.16802939822702195,93.71531284695695,182.4716,401.53401984126987,8.0
AS14.30,2014-04-29,7.859999999999999,91.51778177374744,1.04,-1.08,0.1900394882682924,95.04521219336219,234.8312,367.7487006105006,8.0
AS14.30,2014-04-30,7.82,113.63447412162395,1.0,-1.04,0.19739927044571642,88.04359255050505,361.8284,366.92054949938955,7.8
AS14.30,2014-05-01,7.88,114.70229252842103,1.0,-1.08,0.20138820049337885,90.22641912393162,410.88745,340.34097172161177,8.2
AS14.30,2014-05-02,7.959999999999999,105.83673622199669,1.0,-1.04,0.16498742160306176,90.77480801282051,416.72215000000006,303.9827436514363,8.0
AS14.30,2014-05-03,8.0,104.21704066282268,1.0,-1.04,0.16694652599492096,83.2311346794872,389.75155,188.7500650800077,7.8
